MODEL,PRODUCT NAME,DESCRIPTION/KEY FEATURES,PRODUCT CATEGORY,"PRODUCT WIDTH
(mm)","PRODUCT DEPTH
(mm)","PRODUCT HEIGHT
(mm)","PACKED
WEIGHT
(kg's)","PACKED
VOLUME
(m³)","PRODUCT
CAPACITY","POWER
DELIVERY",BRAND,IMAGES,CAD DRAWING,"PRODUCT
ORIGIN",BROCHURE,WARRANTY,"RRP
(ex GST)",ACCESSORIES,"RELATED
MODELS",product order,
GSA810S,"Roband Grill Station 8 slice, smooth plates","Eight sandwich capacity, smooth plates, high pressure die-cast aluminium cooking plates, precise thermostat, even temperature distribution, option to switch between top and bottom or bottom plate only operation, counter balanced top plate, load limiter reduces weight of top plate, high splash guard, front position grease box, no back cable, 5 min timer with bell, optional ribbed top plate or non stick coating. 10 Amp. 8 slice","Benchtop, Benchtop > Sandwich Press",560,490,220,25,0.146,8 slice,2300w,ROBAND,GSA810S Open 45deg.jpg,GS8 Series.DWG,Australia,"Roband Catalogue July2018.pdf

Roband Grill Station Broch July2019.pdf",12 months," $1,085.00 ","RC8
PGS805
PGS810",GSA810R,12,
GSA810R,"Roband Grill Station 8 slice, ribbed top plate","Eight sandwich capacity, ribbed top plate, high pressure die-cast aluminium cooking plates, precise thermostat, even temperature distribution, option to switch between top and bottom or bottom plate only operation, counter balanced top plate, load limiter reduces weight of top plate, high splash guard, front position grease box, no back cable, 5 min timer with bell, optional smooth top plate or non stick coating. 10 Amp. 8 slice","Benchtop, Benchtop > Sandwich Press",560,490,220,25,0.146,8 slice,2300w,ROBAND,GSA810R open 45deg.jpg,GS8 Series.DWG,Australia,"Roband Catalogue July2018.pdf

Roband Grill Station Broch July2019.pdf",12 months," $1,086.00 ","RC8
PGS805
PGS810",GSA810S,13,
GSA810ST,"Roband Grill Station 8 slice, smooth non stick plates","Eight sandwich capacity, non stick coating, high pressure die-cast aluminium cooking plates, precise thermostat, even temperature distribution, option to switch between top and bottom or bottom plate only operation, counter balanced top plate, load limiter reduces weight of top plate, high splash guard, front position grease box, no back cable, 5 min timer with bell, optional ribbed top plate. 10 Amp. 8 slice","Benchtop, Benchtop > Sandwich Press",560,490,220,25,0.146,8 slice,2300w,ROBAND,GSA810ST Open 45deg.jpg,GS8 Series.DWG,Australia,"Roband Catalogue July2018.pdf

Roband Grill Station Broch July2019.pdf",12 months," $1,232.00 ","RC8
PGS805
PGS810",GSA810RT,14,
GSA810RT,"Roband Grill Station 8 slice, non stick with ribbed top plate","Eight sandwich capacity, ribbed top plate, non stick coating, high pressure die-cast aluminium cooking plates, precise thermostat, even temperature distribution, option to switch between top and bottom or bottom plate only operation, counter balanced top plate, load limiter reduces weight of top plate, high splash guard, front position grease box, no back cable, 5 min timer with bell, optional smooth top plate. 10 Amp. 8 slice","Benchtop, Benchtop > Sandwich Press",560,490,220,25,0.146,8 slice,2300w,ROBAND,GSA810RT open 45deg.jpg,GS8 Series.DWG,Australia,"Roband Catalogue July2018.pdf

Roband Grill Station Broch July2019.pdf",12 months," $1,233.00 ","RC8
PGS805
PGS810",GSA810ST,15,
GSA815S,"Roband Grill Station 8 slice, smooth plates, 13 Amp","Eight sandwich capacity, smooth plates, high pressure die-cast aluminium cooking plates, precise thermostat, even temperature distribution, option to switch between top and bottom or bottom plate only operation, counter balanced top plate, load limiter reduces weight of top plate, high splash guard, front position grease box, no back cable, 5 min timer with bell, optional ribbed top plate or non stick coating. 13 Amp. 8 slice","Benchtop, Benchtop > Sandwich Press",560,490,220,25,0.146,8 slice,2990w,ROBAND,GSA815S Open 45deg,GS8 Series.DWG,Australia,"Roband Catalogue July2018.pdf

Roband Grill Station Broch July2019.pdf",12 months," $1,090.00 ","RC8
PGS805
PGS810",GSA815R,16,
GSA815R,"Roband Grill Station 8 slice, ribbed top plate, 13 Amp","Eight sandwich capacity, ribbed top plate, high pressure die-cast aluminium cooking plates, precise thermostat, even temperature distribution, option to switch between top and bottom or bottom plate only operation, counter balanced top plate, load limiter reduces weight of top plate, high splash guard, front position grease box, no back cable, 5 min timer with bell, optional smooth top plate or non stick coating. 13 Amp. 8 slice","Benchtop, Benchtop > Sandwich Press",560,490,220,25,0.146,8 slice,2990w,ROBAND,GSA815R Open 45deg.jpg,GS8 Series.DWG,Australia,"Roband Catalogue July2018.pdf

Roband Grill Station Broch July2019.pdf",12 months," $1,091.00 ","RC8
PGS805
PGS810",GSA815S,17,
GSA815ST,"Roband Grill Station 8 slice, smooth non stick plates, 13 Amp","Eight sandwich capacity, non stick coating, high pressure die-cast aluminium cooking plates, precise thermostat, even temperature distribution, option to switch between top and bottom or bottom plate only operation, counter balanced top plate, load limiter reduces weight of top plate, high splash guard, front position grease box, no back cable, 5 min timer with bell, optional ribbed top plate. 13 Amp. 8 slice","Benchtop, Benchtop > Sandwich Press",560,490,220,25,0.146,8 slice,2990w,ROBAND,GSA815ST open 45deg.jpg,GS8 Series.DWG,Australia,"Roband Catalogue July2018.pdf

Roband Grill Station Broch July2019.pdf",12 months," $1,240.00 ","RC8
PGS805
PGS810",GSA815RT,18,
GSA815RT,"Roband Grill Station 8 slice, non stick with ribbed top plate, 13 Amp","Eight sandwich capacity, ribbed top plate, non stick coating, high pressure die-cast aluminium cooking plates, precise thermostat, even temperature distribution, option to switch between top and bottom or bottom plate only operation, counter balanced top plate, load limiter reduces weight of top plate, high splash guard, front position grease box, no back cable, 5 min timer with bell, optional smooth top plate. 13 Amp. 8 slice","Benchtop, Benchtop > Sandwich Press",560,490,220,25,0.146,8 slice,2990w,ROBAND,GSA815RT open 45deg.jpg,GS8 Series.DWG,Australia,"Roband Catalogue July2018.pdf

Roband Grill Station Broch July2019.pdf",12 months," $1,241.00 ","RC8
PGS805
PGS810",GSA815ST,19,
GMW815E,"Roband Grill Max Wide-Mouth Toaster 8 slice, 15 Amp","Electronic ""soft-touch"" timer, 5 minute timer operation, top and bottom or top only heat selection, energy regulator, Dura-life stainless steel elements, wide mouth can accommodate up to 100mm, cooling fan to reduce external temperature, removable rack runners and crumb tray for easy cleaning, audible alarm and flashing light at end of cooking cycle, 15 Amp. 8 slice","Benchtop, Benchtop > Open Toaster Grillers",625,390,350,24,0.189,8 slice,3450w,ROBAND,GMW815E Grill Max Wide Mouth Toaster.jpg,GMW815E_v1.DWG,Australia,Roband Catalogue July2018.pdf,12 months," $1,130.00 ",0,SA15,38,
GMX610,Roband Grill Max Toaster 6 slice,"Dura-life stainless steel elements, good heat retention meaning heat remains after elements turned off to keep food warm, brushed stainless steel body, energy regulator, 5 minute timer with bell, easy-clean removable crumb tray and reflector, top and bottom or top only heat selection and multiple rack positions. Max toasting height 79mm. 8.5 Amp. 6 slice","Benchtop, Benchtop > Open Toaster Grillers",485,315,315,14,0.098,6 slice,1960w,ROBAND,GMX610 Grill Max Toaster.jpg,GMX610_v1.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $725.00 ,0,"GMX810
GMX815
GMX1515",39,
GMX810,Roband Grill Max Toaster 8 slice,"Dura-life stainless steel elements, good heat retention meaning heat remains after elements turned off to keep food warm, brushed stainless steel body, energy regulator, 5 minute timer with bell, easy-clean removable crumb tray and reflector, top and bottom or top only heat selection and multiple rack positions. Max toasting height 79mm. 10 Amp. 8 slice","Benchtop, Benchtop > Open Toaster Grillers",585,315,315,17,0.147,8 slice,2300w,ROBAND,GMX810 Grill Max Toaster.jpg,GMX810_v1.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $732.00 ,0,"GMX610
GMX815
GMX1515
GMX810G",40,
GMX815,"Roband Grill Max Toaster 8 slice, 14.6 Amp","Dura-life stainless steel elements, good heat retention meaning heat remains after elements turned off to keep food warm, brushed stainless steel body, energy regulator, 5 minute timer with bell, easy-clean removable crumb tray and reflector, top and bottom or top only heat selection and multiple rack positions. Max toasting height 79mm. 14.6 Amp. 8 slice","Benchtop, Benchtop > Open Toaster Grillers",585,315,315,17,0.146,8 slice,3360w,ROBAND,GMX815 Grill Max Toaster.jpg,GMX810_v1.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $734.00 ,0,"GMX810
GMX1515",41,
GMX1515,"Roband Grill Max Toaster 15 slice, 14.6 Amp","Dura-life stainless steel elements, good heat retention meaning heat remains after elements turned off to keep food warm, brushed stainless steel body, energy regulator, 5 minute timer with bell, easy-clean removable crumb tray and reflector, top and bottom or top only heat selection and multiple rack positions. Max toasting height 77mm. 14.6 Amp.15 slice","Benchtop, Benchtop > Open Toaster Grillers",690,405,315,25,0.224,15 slice,3360w,ROBAND,GMX1515 Grill Max Toaster.jpg,GMX1515_v2.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $941.00 ,0,GMX815,42,
GMX810G,"Roband Grill Max Toaster 8 slice, glass elements","Glass elements heat up quickly & provide instant toasting power, fitted with wire guard to protect elements, elements wired in parallel so that machine continues to operate if one element stops functioning, brushed stainless steel body, energy regulator, 5 minute timer with bell, easy-clean removable crumb tray and reflector, top and bottom or top only heat selection and multiple rack positions. Max toasting height 72mm. 10 Amp. 8 slice","Benchtop, Benchtop > Open Toaster Grillers",585,315,355,17,0.146,8 slice,2300w,ROBAND,GMX810G Grill Max Glass Element Toaster.jpg,GMX810G_V2.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $824.00 ,0,GMX810,43,
TCR10,"Roband Conveyor Toaster, 300 slices/HR","Stainless steel body, selectable heat source top or bottom or both together, front entry, adjustable front return or pass through exit chute, variable conveyor speed control, cover for speed controller, easy clean crumb tray and reflector & Dura life elements. Max clearance through conveyor is 45mm. 10 Amp. 300 slices/HR","Benchtop > Conveyor Toasters, Benchtop",475,430,370,23,0.182,300 slices/HR,2300w,ROBAND,TCR10 Conveyor Toaster.jpg,TCR10_v4.DWG,Australia,Roband Catalogue July2018.pdf,12 months," $1,656.00 ",0,"TCR15
ET310
ET315
ST350A
ST350AR
ST350AB
ST500A
ST500AR
ST500AB",44,
TCR15,"Roband Conveyor Toaster, 500 slices/HR","Stainless steel body, selectable heat source top or bottom or both together, front entry, adjustable front return or pass through exit chute, variable conveyor speed control, cover for speed controller, easy clean crumb tray and reflector & Dura life elements. Max clearance through conveyor is 45mm. 14 Amp. 500 slices/HR","Benchtop > Conveyor Toasters, Benchtop",475,430,370,23,0.182,500 slices/HR,3220w,ROBAND,TCR15 Conveyor Toaster.jpg,TCR15_v4.DWG,Australia,Roband Catalogue July2018.pdf,12 months," $1,672.00 ",0,"TCR10
ET310
ET315
ST350A
ST350AR
ST350AB
ST500A
ST500AR
ST500AB",45,
ET310,"Roband Eclipse Bun & Snack Toaster, 10 Amps","The Eclipse conveyor toaster is designed for high speed bun toasting and toasting of small bread based snack items. Ideal for back-of-house use.
Independent and precise variable control of top & bottom element heat output as well as control of conveyor belt speed.
Two entry chutes providing different entry angles.
Rear chute has two options, return chute operation or pass through chute. Pass through chute can be adjusted to 3 angles. Max height clearance through conveyor 40mm. 10 Amp. Up to 300 bread slices/HR. Up to 270 bun halves/HR. Max toasting diameter up to: return chute 130mm, pass-through 310mm.","Benchtop > Conveyor Toasters, Benchtop",480,485,400,25,0.194,"Up to 270 bun halves/HR
Up to 300 bread slices/HR",2300w,ROBAND,"ET310 Eclipse back.jpg
ET310 Eclipse front.jpg
ET310 side showing chute angles.jpg",ET315-v2.DWG,Australia,Roband Eclipse broch May2018.pdf,12 months," $1,719.00 ",0,"ET315
TCR10
ST350A
ST350AR
ST350AB",46,
ET315,"Roband Eclipse Bun & Snack Toaster,  14 Amps","The Eclipse conveyor toaster is designed for high speed bun toasting and toasting of small bread based snack items. Ideal for back-of-house use.
Independent and precise variable control of top & bottom element heat output as well as control of conveyor belt speed.
Two entry chutes providing different entry angles.
Rear chute has two options, return chute operation or pass through chute. Pass through chute can be adjusted to 3 angles. Max height clearance through conveyor 40mm. 14 Amp. Up to 500 bread slices/HR. Up to 370 bun halves/HR. 
Max toasting diameter up to: return chute 130mm, pass-through 310mm.","Benchtop > Conveyor Toasters, Benchtop",480,485,400,25,0.194,"Up to 370 bun halves/HR
Up to 500 bread slices/HR",3220w,ROBAND,"ET315 Eclipse back.jpg
ET315 Eclipse front.jpg
ET315 side showing chute angles.jpg",ET315-v2.DWG,Australia,Roband Eclipse broch May2018.pdf,12 months," $1,761.00 ",0,"ET310
TCR15
ST500A
ST500AR
ST500AB",47,
ST350A,"Roband Sycloid Toaster natural, 350 slices/HR","Elegantly designed and crafted, this revolutionary Sycloid toaster sets a new standard for high speed toast production. The Sycloid's stylish exterior houses a cleverly engineered machine that provides truly functional energy efficient operation and an outstanding toasting result time after time. Designed with cool-to-touch external surfaces, plus a lockable toasting speed control. With energy safety in mind, this Sycloid toaster features an automatic power-save mode that conserves energy during quiet periods by scaling back energy consumption. 10 Amp. 350 slices/HR","Benchtop > Conveyor Toasters, Benchtop",415,600,425,29,0.195,350 slices/HR,2300w,ROBAND,Sycloid ST350A.jpg,,Australia,"Roband Catalogue July2018.pdf

SycloidAugust2020FinalLR.pdf",12 months," $2,079.00 ",,"ST350AB
ST350AR",48,
ST350AR,"Roband Sycloid Toaster red, 350 slices/HR","Elegantly designed and crafted, this revolutionary Sycloid toaster sets a new standard for high speed toast production. The Sycloid's stylish red exterior houses a cleverly engineered machine that provides truly functional energy efficient operation and an outstanding toasting result time after time. Designed with cool-to-touch external surfaces, plus a lockable toasting speed control. With energy safety in mind, this Sycloid toaster features an automatic power-save mode that conserves energy during quiet periods by scaling back energy consumtion. 10 Amp. 350 slices/HR","Benchtop > Conveyor Toasters, Benchtop",415,600,425,29,0.195,350 slices/HR,2300w,ROBAND,Sycloid ST350AR.jpg,,Australia,"Roband Catalogue July2018.pdf

SycloidAugust2020FinalLR.pdf",12 months," $2,270.00 ",,"ST350A
ST350AB",49,
ST350AB,"Roband Sycloid Toaster black, 350 slices","Elegantly designed and crafted, this revolutionary Sycloid toaster sets a new standard for high speed toast production. The Sycloid's stylish black exterior houses a cleverly engineered machine that provides truly functional energy efficient operation and an outstanding toasting result time after time. Designed with cool-to-touch external surfaces, plus a lockable toasting speed control. With energy safety in mind, this Sycloid toaster features an automatic power-save mode that conserves energy during quiet periods by scaling back energy consumtion. 10 Amp. 350 slices/HR","Benchtop > Conveyor Toasters, Benchtop",415,600,425,29,0.195,350 slices/HR,2300w,ROBAND,Sycloid ST350AB.jpg,,Australia,"Roband Catalogue July2018.pdf

SycloidAugust2020FinalLR.pdf",12 months," $2,270.00 ",,"ST350A
ST350AR",50,
ST500A,Roband Sycloid Toaster natural 500 slices/HR,"Elegantly designed and crafted, this revolutionary Sycloid toaster sets a new standard for high speed toast production. The Sycloid's stylish exterior houses a cleverly engineered machine that provides truly functional energy efficient operation and an outstanding toasting result time after time. Designed with cool-to-touch external surfaces, plus a lockable toasting speed control. With energy safety in mind, this Sycloid toaster features an automatic power-save mode that conserves energy during quiet periods by scaling back energy consumtion. 13 Amp. 500 slices/HR","Benchtop > Conveyor Toasters, Benchtop",415,600,425,29,0.195,500 slices/HR,2990w,ROBAND,"Sycloid ST500A.jpg
Sycloid ST500A with toast on white.jpg",,Australia,"Roband Catalogue July2018.pdf

SycloidAugust2020FinalLR.pdf",12 months," $2,086.00 ",,"ST500AB
ST500AR",51,
ST500AR,"Roband Sycloid Toaster red, 500 slices/HR","Elegantly designed and crafted, this revolutionary Sycloid toaster sets a new standard for high speed toast production. The Sycloid's stylish red exterior houses a cleverly engineered machine that provides truly functional energy efficient operation and an outstanding toasting result time after time. Designed with cool-to-touch external surfaces, plus a lockable toasting speed control. With energy safety in mind, this Sycloid toaster features an automatic power-save mode that conserves energy during quiet periods by scaling back energy consumtion. 13 Amp. 500 slices/HR","Benchtop > Conveyor Toasters, Benchtop",415,600,425,29,0.195,500 slices/HR,2990w,ROBAND,Sycloid ST500AR.jpg,,Australia,"Roband Catalogue July2018.pdf

SycloidAugust2020FinalLR.pdf",12 months," $2,277.00 ",,"ST500A
ST500AB",52,
ST500AB,"Roband Sycloid Toaster black, 500 slices/HR","Elegantly designed and crafted, this revolutionary Sycloid toaster sets a new standard for high speed toast production. The Sycloid's stylish black exterior houses a cleverly engineered machine that provides truly functional energy efficient operation and an outstanding toasting result time after time. Designed with cool-to-touch external surfaces, plus a lockable toasting speed control. With energy safety in mind, this Sycloid toaster features an automatic power-save mode that conserves energy during quiet periods by scaling back energy consumtion. 13 Amp. 500 slices/HR","Benchtop > Conveyor Toasters, Benchtop",415,600,425,29,0.195,500 slices/HR,2990w,ROBAND,Sycloid ST500AB.jpg,,Australia,"Roband Catalogue July2018.pdf

SycloidAugust2020FinalLR.pdf",12 months," $2,277.00 ",,"ST500A
ST500AR",53,
TC55,"Roband Vertical Toaster, 5 slice","Stainless steel construction, 6 minute timer, easy-clean crumb tray, multi slice selection, Dura-life stainless steel elements, slot width 2.8cm by 14cm. 9.6 Amp. 5 slice","Benchtop, Benchtop > Toasters",420,265,312,11,0.079,5 slice,2200w,ROBAND,TC55 Vertical Toaster.jpg,TC55_v4.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $675.00 ,0,TC66,54,
TC66,"Roband Vertical Toaster, 6 slice","Stainless steel construction, 6 minute timer, easy-clean crumb tray, multi slice selection, Dura-life stainless steel elements, slot width 2.8cm by 14cm. 11.2 Amp. 6 slice","Benchtop, Benchtop > Toasters",420,265,312,12,0.079,6 slice,2570w,ROBAND,TC66 Vertical Toaster.jpg,TC66_v4.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $685.00 ,0,TC55,55,
SA15,"Roband Salamander, 15 slice","Stainless steel construction, dual energy regulator control, Dura-life stainless steel elements, wall mount kit included, easy clean crumb tray & reflector, ideal for grilling, top toasting and finishing off ingredients such as cheese, mornays and toppings, max toasting height 121mm. 13.9 Amp. 15 slice","Cooking, Cooking > Salamanders",690,455,355,27,0.254,15 slice,3200w,ROBAND,SA15 Salamander.jpg,SA15_v1.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $983.00 ,0,GMW815E,56,
G500,Roband Griddle - Medium Production,"8mm thick steel cooking plate, dual thermostatic control, compacted cooking plate elements with superior clamping for fast temperature recovery and reliable temperature control, forward positioned grease gutter and integrated, side positioned grease collection box which is easily removable for cleaning. 515 x 340mm cooking surface, 10 Amp","Cooking, Cooking > Griddles",538,443,263,24,0.124,515 x 340 cooking surface,2300 w,ROBAND,G500 Griddle.jpg,G500v1.DWG,Australia,"Roband Catalogue July2018.pdf

Roband Griddles broch Nov2017.pdf",12 months, $743.00 ,0,"G700
G500XP",57,
G500XP,Roband Griddle - High Production,"8mm thick steel cooking plate, dual thermostatic control, compacted cooking plate elements with superior clamping for fast temperature recovery and reliable temperature control, forward positioned grease gutter and integrated, side positioned grease collection box which is easily removable for cleaning. 515 x 340mm cooking surface, 15 Amp","Cooking, Cooking > Griddles",538,443,263,24,0.125,515 x 340 cooking surface,3450 w,ROBAND,G500XP Griddle.jpg,G500v1.DWG,Australia,"Roband Catalogue July2018.pdf

Roband Griddles broch Nov2017.pdf",12 months, $779.00 ,0,"G500
G700",58,
G700,Roband Griddle - Very High Production,"8mm thick steel cooking plate, dual thermostatic control, compacted cooking plate elements with superior clamping for fast temperature recovery and reliable temperature control, forward positioned grease gutter and integrated, side positioned grease collection box which is easily removable for cleaning. 700 x 400mm cooking surface, 18.4 Amp","Cooking, Cooking > Griddles",725,529,263,36,0.182,700 x 400 cooking surface,4240w,ROBAND,G700 Griddle.jpg,,Australia,"Roband Catalogue July2018.pdf

Roband Griddles broch Nov2017.pdf",12 months," $1,172.00 ",0,"G500
G500XP",59,
GT480,Roband Griddle Toaster - Medium Production,"The perfect combination machine to produce a great top toasting result, whilst precisely cooking your steaks, eggs, bacon or hamburgers. 6 mm thick steel cooking plate, independent control of toasting and cooking functions, compacted cooking plate elements with superior clamping for fast temperature recovery and reliable temperature control, forward positioned grease gutter and integrated, side positioned grease collection box which is easily removable for cleaning, removable crumb tray, wire rack with bun stop. 490 x 308 mm
cooking surface, 10 Amp","Cooking, Cooking > Griddle Toasters",495,425,374,24,0.150,480 x 308 cooking surface,2300 w,ROBAND,GT480 Griddle Toaster.jpg,GT480v1.DWG,Australia,"Roband Catalogue July2018.pdf

Roband Griddles broch Nov2017.pdf",12 months," $1,010.00 ",0,"GT500
GT700",60,
GT500,Roband Griddle Toaster - High Production,"The perfect combination machine to produce a great top toasting result, whilst precisely cooking your steaks, eggs, bacon or hamburgers. 8 mm thick steel cooking plate, independent control of toasting and cooking functions, compacted cooking plate elements with superior clamping for fast temperature recovery and reliable temperature control, forward positioned grease gutter and integrated, side positioned grease collection box which is easily removable for cleaning, removable crumb tray, wire rack with bun stop. 515 x 340 mm
cooking surface, 14.3 Amp","Cooking, Cooking > Griddle Toasters",537,457,374,29,0.150,515 x 340 cooking surface,3280 w,ROBAND,"GT500 Griddle Toaster front right view.jpg

GT500 Griddle Toaster.jpg",GT500v1.DWG,Australia,"Roband Catalogue July2018.pdf

Roband Griddles broch Nov2017.pdf",12 months," $1,051.00 ",0,"GT480
GT700",61,
